 # ccd  x1  x2   y1   y2  BPMDEF_value
 50     1  142 2123 2280    16384
 50  1896 2048 3963 4096    16384
 50     1  154 3971 4096    16384
 47     1  130    1  122    16384
 47  1893 2048    1  120    16384
 47  1913 2048 1880 2030    16384
 47     1  150 1910 2072    16384
 47  1902 2048 3969 4096    16384
 47     1  134 3980 4096    16384
 48     1  136    1  123    16384
 48  1888 2048    1  121    16384
 48  1904 2048 1974 2120    16384
 48     1  151 2034 2195    16384
 48     1  143 3988 4096    16384
 48  1902 2048 4002 4096    16384
 52     1  137    1  115    16384
 52  1893 2048    1  131    16384
 52     1  145 1852 2004    16384
 52  1908 2048 1822 1954    16384
 52  1895 2048 3957 4096    16384
 52     1  142 3962 4096    16384
 53     1  146    1  161    16384
 53  1909 2048    1  123    16384
 53  1907 2048 1863 2010    16384
 53     1  150 1895 2038    16384
 53  1903 2048 3965 4096    16384
 53     1  152 3977 4096    16384
 54     1  146    1  130    16384
 54  1895 2048    1  134    16384
 54     1  161 1967 2123    16384
 54  1898 2048 1941 2079    16384
 54     1  162 3968 4096    16384
 54  1904 2048 3974 4096    16384
 55     1  151    1  126    16384
 55  1908 2048    1  145    16384
 55     1  149 1966 2126    16384
 55  1903 2048 1964 2113    16384
 55  1898 2048 3964 4096    16384
 55     1  148 3971 4096    16384
 57     1  140    1  108    16384
 57  1913 2048    1  111    16384
 57  1895 2048 1968 2127    16384
 57     1  127 2105 2263    16384
 57     1  143 3962 4096    16384
 57  1917 2048 3974 4096    16384
 58     1  137    1   98    16384
 58  1900 2048    1  124    16384
 58     1  131 1834 1969    16384
 58  1905 2048 1967 2093    16384
 58     1  122 3996 4096    16384
 58  1903 2048 4003 4096    16384
 59     1  130    1  121    16384
 59  1896 2048    1  115    16384
 59  1894 2048 1966 2125    16384
 59     1  139 2120 2278    16384
 59  1899 2048 3968 4096    16384
 59     1  145 3970 4096    16384
 60     1  151    1  138    16384
 60  1897 2048    1  138    16384
 60  1893 2048 1910 2048    16384
 60     1  146 1884 2036    16384
 60  1882 2048 3963 4096    16384
 60     1  153 3967 4096    16384
 61     1  131    1  144    16384
 61  1908 2048    1  121    16384
 61     1  143 1873 2033    16384
 61  1883 2048 1880 2033    16384
 61     1  160 3983 4096    16384
 61  1894 2048 3985 4096    16384
 62     1  133    1  109    16384
 62  1905 2048    1  135    16384
 62     1  139 1914 2060    16384
 62  1906 2048 1931 2071    16384
 62     1  147 3975 4096    16384
 62  1908 2048 3977 4096    16384

